country,source_url,title,positive,negative,neutral,polarity
South Africa,https://www.resbank.co.za/en/home/what-we-do/monetary-policy,Monetary Policy,0.15235888957977295,0.12447551637887955,0.7231656908988953,0.027883373200893402
South Africa,https://www.resbank.co.za/en/home/what-we-do/monetary-policy/monetary-policy-committee,Monetary Policy Committee,0.06931480020284653,0.17173664271831512,0.758948564529419,-0.1024218425154686
South Africa,https://www.resbank.co.za/en/home/what-we-do/monetary-policy/monetary-policy-implementation,Monetary Policy Implementation,0.07472101598978043,0.09714781492948532,0.8281311392784119,-0.022426798939704895
South Africa,https://www.resbank.co.za/en/home/what-we-do/financial-markets/monetary-policy-implementation-framework,Monetary Policy Implementation Framework,0.07491496950387955,0.11361350864171982,0.8114714622497559,-0.03869853913784027
South Africa,https://www.resbank.co.za/en/home/publications/statements,Statements,0.11782879382371902,0.3247261941432953,0.5574449896812439,-0.20689740031957626
South Africa,https://www.resbank.co.za/en/home/publications/statements/cpd-statements,CPD Statements,0.11739468574523926,0.3290424942970276,0.5535628199577332,-0.21164780855178833
South Africa,https://www.resbank.co.za/en/home/publications/statements/mpc-statements,MPC Statements,0.11732874065637589,0.3299700915813446,0.5527011752128601,-0.21264135092496872
South Africa,https://www.resbank.co.za/en/home/publications/statements/Statement-of-Assets-and-Liabilities,Statement of Assets and Liabilities,0.11542607098817825,0.3278639018535614,0.5567100644111633,-0.21243783086538315
Kenya,https://www.centralbank.go.ke/monetary-policy/,Monetary Policy,0.10272011905908585,0.24471938610076904,0.6525604724884033,-0.1419992670416832
Kenya,https://www.centralbank.go.ke/reports/monetary-policy-reports/,Monetary Policy Reports,0.06302002817392349,0.05630186200141907,0.8806781768798828,0.006718166172504425
Kenya,https://www.centralbank.go.ke/reports/cbk-reports-and-financial-statements/,CBK Reports & Financial Statements,0.03781979903578758,0.0434943363070488,0.918685793876648,-0.005674537271261215
Kenya,https://www.centralbank.go.ke/press/,Press Releases,0.05673297867178917,0.03650438040494919,0.9067625999450684,0.02022859826683998
Kenya,https://www.centralbank.go.ke/2026/03/05/next-mpc-meeting-2/,Next MPC Meeting,0.04299314692616463,0.04301764816045761,0.9139893651008606,-2.450123429298401e-05
Ghana,https://www.bog.gov.gh/monetary-policy/,Monetary Policy,0.0316728875041008,0.1860497146844864,0.7822774052619934,-0.1543768271803856
South Africa,official_summary,SARB MPC Jan 2024,0.20100896060466766,0.4512687623500824,0.34772226214408875,-0.25025980174541473
South Africa,official_summary,SARB MPC Sep 2023,0.11618802696466446,0.5782222151756287,0.3055897057056427,-0.4620341882109642
South Africa,official_summary,SARB MPC May 2023,0.33119893074035645,0.6182088851928711,0.05059216544032097,-0.28700995445251465
South Africa,official_summary,SARB MPC Jan 2023,0.3704124093055725,0.39949092268943787,0.230096697807312,-0.029078513383865356
Kenya,official_summary,CBK MPC Feb 2024,0.2842751443386078,0.5034188032150269,0.21230602264404297,-0.21914365887641907
Kenya,official_summary,CBK MPC Dec 2023,0.33678022027015686,0.33202579617500305,0.3311939239501953,0.004754424095153809
Kenya,official_summary,CBK MPC Aug 2023,0.3631172180175781,0.5225152373313904,0.11436760425567627,-0.15939801931381226
Kenya,official_summary,CBK MPC Feb 2023,0.4460853338241577,0.3430797755718231,0.21083492040634155,0.1030055582523346
Ghana,official_summary,BOG MPC Jan 2024,0.5478498935699463,0.2523271441459656,0.19982294738292694,0.2955227494239807
Ghana,official_summary,BOG MPC Nov 2023,0.5329373478889465,0.085693359375,0.3813692629337311,0.44724398851394653
Ghana,official_summary,BOG MPC Jul 2023,0.2010551393032074,0.5604050755500793,0.23853978514671326,-0.35934993624687195
Ghana,official_summary,BOG MPC Jan 2023,0.4743589162826538,0.33642101287841797,0.1892201155424118,0.13793790340423584
Nigeria,official_summary,CBN MPC Jul 2024,0.2857488989830017,0.4270665943622589,0.287184476852417,-0.1413176953792572
Nigeria,official_summary,CBN MPC Mar 2024,0.3566523492336273,0.41776254773139954,0.22558516263961792,-0.06111019849777222
Nigeria,official_summary,CBN MPC Nov 2023,0.5178629755973816,0.2887742221355438,0.1933627873659134,0.22908875346183777
Nigeria,official_summary,CBN MPC May 2023,0.46463543176651,0.19244495034217834,0.34291964769363403,0.27219048142433167
Egypt,official_summary,CBE MPC Aug 2024,0.4622228443622589,0.0861765518784523,0.4516006112098694,0.3760462924838066
Egypt,official_summary,CBE MPC Mar 2024,0.4566468894481659,0.170275017619133,0.3730780780315399,0.2863718718290329
Egypt,official_summary,CBE MPC Oct 2023,0.5484603643417358,0.2678597569465637,0.18367981910705566,0.2806006073951721
Egypt,official_summary,CBE MPC Feb 2023,0.5076739192008972,0.30723753571510315,0.1850886195898056,0.20043638348579407
Ethiopia,official_summary,NBE Statement Q1 2024,0.43053412437438965,0.2575269043445587,0.31193894147872925,0.17300722002983093
Ethiopia,official_summary,NBE Statement Q3 2023,0.3568383753299713,0.35804110765457153,0.28512051701545715,-0.0012027323246002197
Ethiopia,official_summary,NBE Statement Q1 2023,0.4297098219394684,0.20206615328788757,0.36822399497032166,0.2276436686515808
Ethiopia,official_summary,NBE Statement Q2 2022,0.3537866473197937,0.5021648406982422,0.1440485268831253,-0.1483781933784485
Botswana,official_summary,BoB MPC Feb 2024,0.48037904500961304,0.11733704060316086,0.4022839367389679,0.3630420044064522
Botswana,official_summary,BoB MPC Aug 2023,0.5225070714950562,0.21599991619586945,0.2614929676055908,0.3065071552991867
Botswana,official_summary,BoB MPC Feb 2023,0.2814153730869293,0.3279884457588196,0.3905961811542511,-0.04657307267189026
Botswana,official_summary,BoB MPC Aug 2022,0.6970435976982117,0.15140819549560547,0.15154825150966644,0.5456354022026062
Morocco,official_summary,BAM Board Mar 2024,0.3919054865837097,0.17935968935489655,0.42873483896255493,0.21254579722881317
Morocco,official_summary,BAM Board Dec 2023,0.7128187417984009,0.018574828281998634,0.26860639452934265,0.6942439135164022
Morocco,official_summary,BAM Board Jun 2023,0.3287225365638733,0.5939933061599731,0.07728412747383118,-0.26527076959609985
Morocco,official_summary,BAM Board Mar 2023,0.397404283285141,0.3165721595287323,0.2860235571861267,0.08083212375640869
Zambia,official_summary,BoZ MPC Feb 2024,0.6177295446395874,0.07287351787090302,0.3093969225883484,0.5448560267686844
Zambia,official_summary,BoZ MPC Nov 2023,0.5047141909599304,0.24003441631793976,0.2552514374256134,0.26467977464199066
Zambia,official_summary,BoZ MPC May 2023,0.2244068831205368,0.40506887435913086,0.37052419781684875,-0.18066199123859406
Zambia,official_summary,BoZ MPC Feb 2022,0.4294208288192749,0.32192859053611755,0.24865061044692993,0.10749223828315735
United States,official_summary,Fed FOMC Jan 2024,0.4038179814815521,0.26296237111091614,0.33321964740753174,0.140855610370636
United States,official_summary,Fed FOMC Sep 2023,0.43522199988365173,0.3051668703556061,0.25961121916770935,0.13005512952804565
United States,official_summary,Fed FOMC Mar 2023,0.39174985885620117,0.49286261200904846,0.11538752168416977,-0.10111275315284729
United States,official_summary,Fed FOMC Jun 2022,0.7333304286003113,0.025884335860610008,0.24078519642353058,0.7074460927397013
United Kingdom,official_summary,BoE MPC Feb 2024,0.27478936314582825,0.4823065400123596,0.24290405213832855,-0.20751717686653137
United Kingdom,official_summary,BoE MPC Aug 2023,0.48985326290130615,0.4224948585033417,0.08765191584825516,0.06735840439796448
United Kingdom,official_summary,BoE MPC Feb 2023,0.24333204329013824,0.4909256398677826,0.26574233174324036,-0.24759359657764435
United Kingdom,official_summary,BoE MPC Aug 2022,0.5090442299842834,0.31692248582839966,0.17403337359428406,0.1921217441558838
Japan,official_summary,BoJ Meeting Mar 2024,0.5668096542358398,0.053774911910295486,0.37941548228263855,0.5130347423255444
Japan,official_summary,BoJ Meeting Oct 2023,0.2943584620952606,0.20625637471675873,0.49938520789146423,0.08810208737850189
Japan,official_summary,BoJ Meeting Jan 2023,0.5017755627632141,0.196345254778862,0.3018791973590851,0.3054303079843521
Japan,official_summary,BoJ Meeting Dec 2022,0.37869948148727417,0.13051864504814148,0.49078190326690674,0.2481808364391327
Brazil,official_summary,BCB Copom Mar 2024,0.2916660010814667,0.3016197979450226,0.40671420097351074,-0.009953796863555908
Brazil,official_summary,BCB Copom Aug 2023,0.6021685600280762,0.18378128111362457,0.21405017375946045,0.4183872789144516
Brazil,official_summary,BCB Copom Feb 2023,0.2636338472366333,0.3878415822982788,0.3485245704650879,-0.12420773506164551
Brazil,official_summary,BCB Copom Aug 2022,0.2177782505750656,0.4789355397224426,0.30328625440597534,-0.261157289147377
Germany,official_summary,ECB Meeting Mar 2024,0.18504488468170166,0.3366639316082001,0.47829118371009827,-0.1516190469264984
Germany,official_summary,ECB Meeting Oct 2023,0.32015544176101685,0.6286104917526245,0.05123412609100342,-0.30845504999160767
Germany,official_summary,ECB Meeting Jun 2023,0.49399060010910034,0.4086659848690033,0.0973433256149292,0.08532461524009705
Germany,official_summary,ECB Meeting Jul 2022,0.6105293035507202,0.1192128136754036,0.2702579200267792,0.4913164898753166
India,official_summary,RBI MPC Feb 2024,0.4090747833251953,0.047413114458322525,0.5435121059417725,0.3616616688668728
India,official_summary,RBI MPC Aug 2023,0.49695271253585815,0.18057222664356232,0.32247504591941833,0.31638048589229584
India,official_summary,RBI MPC Feb 2023,0.47783562541007996,0.4094680845737457,0.11269626021385193,0.06836754083633423
India,official_summary,RBI MPC Jun 2022,0.5472785830497742,0.24029673635959625,0.2124246507883072,0.3069818466901779
China,official_summary,PBoC Statement Feb 2024,0.3499990403652191,0.36911407113075256,0.2808868885040283,-0.019115030765533447
China,official_summary,PBoC Statement Aug 2023,0.14310027658939362,0.5962702631950378,0.26062944531440735,-0.4531699866056442
China,official_summary,PBoC Statement Jan 2023,0.3840881586074829,0.23589365184307098,0.3800182044506073,0.14819450676441193
